ent_station,ext_station,ent_time_period,riders_average_weekday
Benning Road,Eastern Market,AM Peak,35.86363636363637
Benning Road,Eisenhower Avenue,AM Peak,2.272727272727273
Benning Road,Farragut North,AM Peak,14.863636363636363
Benning Road,Farragut West,AM Peak,125.54545454545455
Benning Road,Federal Center SW,AM Peak,34.40909090909091
Benning Road,Federal Triangle,AM Peak,39.5
Benning Road,Foggy Bottom,AM Peak,96.68181818181819
Benning Road,Forest Glen,AM Peak,0.8636363636363636
Benning Road,Fort Totten,AM Peak,17.818181818181817
Benning Road,Franconia-Springfield,AM Peak,6.909090909090909
Benning Road,Friendship Heights,AM Peak,14.909090909090908
Benning Road,Gallery Place-Chinatown,AM Peak,25.136363636363637
Benning Road,Georgia Avenue-Petworth,AM Peak,23.272727272727273
Benning Road,Glenmont,AM Peak,2.8636363636363638
Benning Road,Greenbelt,AM Peak,5.090909090909091
Benning Road,Grosvenor,AM Peak,1.3181818181818181
Benning Road,Huntington,AM Peak,4.454545454545454
Benning Road,Judiciary Square,AM Peak,34.59090909090909
Benning Road,King Street,AM Peak,10.954545454545455
Benning Road,Landover,AM Peak,1.5909090909090908
Benning Road,Largo Town Center,AM Peak,19.727272727272727
Benning Road,L'Enfant Plaza,AM Peak,46.90909090909091
Benning Road,McPherson Square,AM Peak,73.86363636363636
Benning Road,Medical Center,AM Peak,11.272727272727273
Benning Road,Metro Center,AM Peak,66.77272727272727
Benning Road,Minnesota Avenue,AM Peak,6.954545454545454
Benning Road,Morgan Blvd.,AM Peak,12.954545454545455
Benning Road,Mt. Vernon Square-UDC,AM Peak,12.909090909090908
Benning Road,Navy Yard,AM Peak,8.681818181818182
Benning Road,Naylor Road,AM Peak,2.5
Benning Road,New Carrollton,AM Peak,10.954545454545455
Benning Road,New York Ave,AM Peak,23.5
Benning Road,Pentagon,AM Peak,16.40909090909091
Benning Road,Pentagon City,AM Peak,15.318181818181818
Benning Road,Potomac Avenue,AM Peak,30.727272727272727
Benning Road,Prince George's Plaza,AM Peak,12.0
Benning Road,Reagan Washington National Airport,AM Peak,6.045454545454546
Benning Road,Rhode Island Avenue,AM Peak,24.136363636363637
Benning Road,Rockville,AM Peak,6.454545454545454
Benning Road,Rosslyn,AM Peak,19.09090909090909
Benning Road,Shady Grove,AM Peak,7.136363636363637
Benning Road,Shaw-Howard University,AM Peak,35.22727272727273
Benning Road,Silver Spring,AM Peak,14.818181818181818
Benning Road,Smithsonian,AM Peak,38.27272727272727
Benning Road,Southern Avenue,AM Peak,10.090909090909092
Benning Road,Stadium-Armory,AM Peak,38.54545454545455
Benning Road,Suitland,AM Peak,5.636363636363637
Benning Road,Takoma,AM Peak,5.545454545454546
Benning Road,Tenleytown-AU,AM Peak,22.863636363636363
Benning Road,Twinbrook,AM Peak,3.272727272727273
Benning Road,U Street-Cardozo,AM Peak,33.59090909090909
Benning Road,Union Station,AM Peak,17.954545454545453
Benning Road,Van Dorn Street,AM Peak,2.590909090909091
Benning Road,Van Ness-UDC,AM Peak,13.636363636363637
Benning Road,Vienna,AM Peak,3.4545454545454546
Benning Road,Virginia Square-GMU,AM Peak,2.909090909090909
Benning Road,Waterfront,AM Peak,19.272727272727273
Benning Road,West Falls Church,AM Peak,9.181818181818182
Benning Road,West Hyattsville,AM Peak,1.4090909090909092
Benning Road,Wheaton,AM Peak,2.090909090909091
Benning Road,White Flint,AM Peak,6.909090909090909
Benning Road,Woodley Park-Zoo,AM Peak,5.7727272727272725
Bethesda,Addison Road,AM Peak,0.6818181818181818
Bethesda,Anacostia,AM Peak,5.2272727272727275
Bethesda,Archives-Navy Memorial,AM Peak,11.545454545454545
Bethesda,Arlington Cemetery,AM Peak,2.4545454545454546
Bethesda,Ballston,AM Peak,18.227272727272727
Bethesda,Benning Road,AM Peak,0.18181818181818182
Bethesda,Bethesda,AM Peak,8.454545454545455
Bethesda,Braddock Road,AM Peak,2.590909090909091
Bethesda,Branch Avenue,AM Peak,3.0
Bethesda,Brookland,AM Peak,15.227272727272727
