ent_station,ext_station,ent_time_period,riders_average_weekday,trip_length
arlington cemetery,suitland,AM Peak,0.0454545454545454,9
arlington cemetery,u street,AM Peak,0.0909090909090909,7
arlington cemetery,union station,AM Peak,1.0454545454545454,6
arlington cemetery,van dorn street,AM Peak,0.0909090909090909,8
arlington cemetery,vienna,AM Peak,0.0454545454545454,9
arlington cemetery,west falls church,AM Peak,0.0454545454545454,7
arlington cemetery,woodley park,AM Peak,0.0909090909090909,8
ballston-mu,addison road,AM Peak,1.0,15
ballston-mu,anacostia,AM Peak,6.7727272727272725,10
ballston-mu,archives,AM Peak,17.636363636363637,8
ballston-mu,arlington cemetery,AM Peak,1.9090909090909087,5
ballston-mu,ballston-mu,AM Peak,15.454545454545457,0
ballston-mu,benning road,AM Peak,0.4545454545454545,13
ballston-mu,bethesda,AM Peak,33.18181818181818,16
ballston-mu,braddock road,AM Peak,11.590909090909092,11
ballston-mu,branch avenue,AM Peak,1.181818181818182,15
ballston-mu,brookland cua,AM Peak,15.590909090909092,14
ballston-mu,capitol heights,AM Peak,0.1818181818181818,14
ballston-mu,capitol south,AM Peak,107.8181818181818,9
ballston-mu,cheverly,AM Peak,1.9545454545454544,15
ballston-mu,clarendon,AM Peak,42.13636363636363,2
ballston-mu,cleveland park,AM Peak,3.4545454545454546,12
ballston-mu,college park university of maryland,AM Peak,5.2727272727272725,18
ballston-mu,columbia heights,AM Peak,9.0,13
ballston-mu,congress heights,AM Peak,0.6818181818181818,11
ballston-mu,court house,AM Peak,76.22727272727273,3
ballston-mu,crystal city,AM Peak,74.9090909090909,8
ballston-mu,deanwood,AM Peak,1.4090909090909092,14
ballston-mu,dunn loring,AM Peak,51.13636363636363,3
ballston-mu,dupont circle,AM Peak,46.54545454545455,10
ballston-mu,east falls church,AM Peak,11.590909090909092,1
ballston-mu,eastern market,AM Peak,23.0,10
ballston-mu,eisenhower avenue,AM Peak,8.409090909090908,13
ballston-mu,farragut north,AM Peak,2.5,9
ballston-mu,farragut west,AM Peak,776.2727272727273,6
ballston-mu,federal center sw,AM Peak,86.68181818181819,8
ballston-mu,federal triangle,AM Peak,200.3181818181818,9
ballston-mu,foggy bottom gwu,AM Peak,418.0,5
ballston-mu,forest glen,AM Peak,0.7727272727272727,18
ballston-mu,fort totten,AM Peak,3.863636363636364,15
ballston-mu,franconia springfield,AM Peak,9.227272727272728,14
ballston-mu,friendship heights,AM Peak,19.727272727272727,15
ballston-mu,gallery place,AM Peak,108.72727272727272,9
ballston-mu,georgia avenue petworth,AM Peak,3.636363636363636,14
ballston-mu,glenmont,AM Peak,2.136363636363636,20
ballston-mu,greenbelt,AM Peak,4.090909090909091,19
ballston-mu,grosvenor strathmore,AM Peak,0.9090909090909092,18
ballston-mu,huntington,AM Peak,2.4545454545454546,14
ballston-mu,judiciary square,AM Peak,102.3181818181818,10
ballston-mu,king street old town,AM Peak,39.72727272727273,12
ballston-mu,landover,AM Peak,1.0454545454545454,16
ballston-mu,largo,AM Peak,1.9090909090909087,17
ballston-mu,l'enfant plaza,AM Peak,161.6818181818182,7
ballston-mu,mcpherson square,AM Peak,441.3636363636364,7
ballston-mu,medical center,AM Peak,15.681818181818182,17
ballston-mu,metro center,AM Peak,342.3181818181818,8
ballston-mu,minnesota avenue,AM Peak,2.0,13
ballston-mu,morgan boulevard,AM Peak,0.9545454545454546,16
ballston-mu,mount vernon square,AM Peak,8.181818181818182,10
ballston-mu,navy yard ballpark,AM Peak,45.0,9
ballston-mu,naylor road,AM Peak,2.0454545454545454,13
ballston-mu,new carrollton,AM Peak,16.59090909090909,17
ballston-mu,noma gallaudet u,AM Peak,47.31818181818182,12
ballston-mu,pentagon,AM Peak,59.09090909090909,6
ballston-mu,pentagon city,AM Peak,22.772727272727277,7
ballston-mu,potomac avenue,AM Peak,2.9545454545454546,11
ballston-mu,hyattsville crossing,AM Peak,1.9545454545454544,17
ballston-mu,national airport,AM Peak,26.13636363636364,9
ballston-mu,rhode island avenue,AM Peak,4.909090909090909,13
ballston-mu,rockville,AM Peak,7.136363636363637,21
ballston-mu,rosslyn,AM Peak,200.22727272727272,4
ballston-mu,shady grove,AM Peak,6.545454545454546,22
ballston-mu,shaw howard university,AM Peak,2.363636363636364,11
ballston-mu,silver spring,AM Peak,29.863636363636363,17
ballston-mu,smithsonian,AM Peak,147.36363636363637,8
ballston-mu,southern avenue,AM Peak,2.1818181818181817,12
ballston-mu,stadium armory,AM Peak,1.9090909090909087,12
ballston-mu,suitland,AM Peak,7.5,14
ballston-mu,takoma,AM Peak,3.590909090909091,16
ballston-mu,tenleytown au,AM Peak,15.090909090909092,14
ballston-mu,twinbrook,AM Peak,2.772727272727273,20
ballston-mu,u street,AM Peak,5.454545454545454,12
ballston-mu,union station,AM Peak,195.5909090909091,11
ballston-mu,van dorn street,AM Peak,4.590909090909091,13
ballston-mu,van ness udc,AM Peak,10.954545454545457,13
ballston-mu,vienna,AM Peak,82.5909090909091,4
ballston-mu,virginia square gmu,AM Peak,9.045454545454543,1
ballston-mu,waterfront,AM Peak,7.045454545454546,8
ballston-mu,west falls church,AM Peak,127.45454545454544,2
ballston-mu,west hyattsville,AM Peak,0.8181818181818182,16
ballston-mu,wheaton,AM Peak,0.8636363636363636,19
ballston-mu,north bethesda,AM Peak,5.090909090909091,19
ballston-mu,woodley park,AM Peak,11.363636363636363,11
benning road,addison road,AM Peak,26.863636363636363,2
benning road,anacostia,AM Peak,28.454545454545453,9
benning road,archives,AM Peak,32.40909090909091,7
benning road,ballston-mu,AM Peak,12.454545454545457,13
benning road,benning road,AM Peak,10.636363636363637,0
benning road,bethesda,AM Peak,11.954545454545457,17
benning road,braddock road,AM Peak,3.863636363636364,12
benning road,branch avenue,AM Peak,4.045454545454546,14
benning road,brookland cua,AM Peak,33.13636363636363,13
benning road,capitol heights,AM Peak,6.727272727272728,1
benning road,capitol south,AM Peak,24.5,4
benning road,cheverly,AM Peak,2.1818181818181817,4
benning road,clarendon,AM Peak,1.2727272727272727,11
benning road,cleveland park,AM Peak,3.6818181818181817,13
benning road,college park university of maryland,AM Peak,2.5,17
benning road,columbia heights,AM Peak,39.45454545454545,12
benning road,congress heights,AM Peak,2.272727272727273,10
benning road,court house,AM Peak,5.863636363636363,10
benning road,crystal city,AM Peak,15.181818181818182,9
benning road,deanwood,AM Peak,0.9545454545454546,3
benning road,dunn loring,AM Peak,1.2272727272727273,16
benning road,dupont circle,AM Peak,29.681818181818183,11
benning road,east falls church,AM Peak,1.0,14
